claim_number,age_of_driver,gender,marital_status,safety_rating,annual_income,high_education,address_change,property_status,zip_code,claim_day_of_week,accident_site,past_num_of_claims,witness_present,liab_prct,channel,police_report,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,total_claim,injury_claim,policy deductible,annual premium,days open,form defects,fraud reported,claim_day,claim_month,claim_year
2446848,0.339285714,1,1,0.648,0.416649569,0,0,1,20140,2,1,0,0,0.5,2,1,0.285714286,1,0.315596097,2,0.194501609,0.67239291,0,0,0.596568149,5,0,26,2,2024
2592000,0.410714286,0,0,0.872,0,1,1,0,50009,4,0,0,0,0.72,2,1,0.380952381,0,0.195521857,4,0.198134451,0.316246261,1,0.533851659,0.587564493,4,1,3,9,2023
3525120,0.071428571,1,1,0.712,0,1,0,1,15015,5,0,0,0,0.8,2,1,0.571428571,0,0.199895495,6,0.438628678,0.497944546,0,1,0.526781642,4,1,21,3,2024
3608064,0.642857143,1,1,0.728,0,0,1,0,80107,3,2,0,0,0.69,2,0,0.380952381,0,0.212346657,3,0.554480365,0.561012229,0,0.607881148,0.430134182,3,1,31,8,2024
3649536,0.446428571,0,0,0.44,1,1,1,1,85001,4,1,0,0,0.86,2,1,0.380952381,1,1,5,0.571630536,1,0,0.505226148,0.437151715,3,0,1,9,2024
3981312,0.321428571,0,0,0.488,0,0,1,1,80022,4,0,0,0,0.51,2,1,0.476190476,1,0.651014403,0,0.423015829,0.551008028,0,0.39420267,0.43204787,8,1,26,5,2024
4209408,0.375,0,1,0.632,1,1,1,0,50047,4,2,0,0,0.5,2,1,0.476190476,2,0.344869939,5,0.201629806,0.549830702,0.4,0.659910172,0.542112766,2,0,6,8,2023
4250880,0.285714286,0,1,0.408,0.374435782,1,1,0,80003,7,0,0,0,0.93,2,1,0.285714286,2,0.400585965,0,0.314924387,0.506741145,0.4,0.33824677,0.541436953,3,0,27,9,2023
4292352,0.625,0,0,0.664,0.598020107,1,1,0,80005,2,0,0,0,0.32,2,1,0.952380952,2,0.650726272,1,0.199013695,0.755345402,0.4,0.712794308,0.442885744,2,0,27,5,2024
4748544,0.142857143,1,0,0,0,1,0,1,50023,3,2,0.8,0,0.71,2,1,0.476190476,1,0.112712458,0,0.782185045,0.634139197,1,0.115635274,0.48808115,2,1,28,12,2024
4790016,0.410714286,0,1,0.44,1,0,1,1,85072,5,2,1,0,0.93,2,1,0.571428571,1,0.64123219,5,0.384191225,0.375134522,1,0.733947963,0.61372638,5,0,5,10,2023
4955904,0.767857143,1,0,0.84,0.668547394,1,1,0,50021,4,1,0,0,0.76,2,1,0.380952381,1,0.286105859,6,0.442120517,0.466740829,0,0.815067413,0.540321299,2,0,22,12,2024
5101056,0.267857143,1,1,0.712,0,0,1,0,20106,2,2,0,0,0,2,1,0.476190476,1,0.366022211,0,0.847529545,0.320285588,1,0.420221333,0.390251241,4,1,20,3,2023
5121792,0.214285714,0,0,0.904,1,1,1,0,85077,5,1,0.4,0,0.94,2,1,0.380952381,2,0.376037394,2,0.391126748,0.491920031,1,0.57459818,0.441864824,3,0,9,3,2023
5163264,0.446428571,1,0,0.568,0.492459992,1,1,0,50043,3,2,0.4,0,0.81,2,1,0.095238095,2,0.255625513,2,0.259234743,0.355848378,0.4,0.707821373,0.431284875,2,0,23,12,2023
5370624,0.5,0,1,0.104,0.525287238,1,0,1,50002,6,0,0,0,0.57,2,0,0.380952381,1,0.245873147,6,0.203665354,0.431868691,0,0.691690466,0.316151152,7,0,30,7,2024
5474304,0.767857143,0,0,0.6,0.667162495,0,1,0,20137,7,1,0,0,0.28,2,1,0.380952381,0,0.330205328,2,0.633395903,0.281035371,0,0.719527281,0.492820763,5,0,1,3,2023
5536512,0.232142857,0,0,0.888,0.328631514,1,0,0,80010,2,0,0,0,1,2,0,0.761904762,1,0.26961075,3,0.138189458,0.385454982,0,0.717659317,0.354717022,3,0,23,1,2023
5660928,0.482142857,1,0,0.12,0,0,1,0,15025,1,1,0.4,0,0.34,2,1,0.19047619,1,0.468300754,3,0.569161865,0.419885522,1,0.587649022,0.551897051,3,1,22,9,2023
5723136,0.678571429,1,1,0.44,0,1,0,1,85007,1,2,0.4,0,0.64,2,1,0.095238095,2,0.149899585,2,0.486473838,0.509675086,0.4,0.36811759,0.570726401,3,1,9,8,2024
6158592,0.660714286,1,1,0.728,0,1,1,1,20148,5,1,0,0,0.27,2,0,0.285714286,2,0.172993314,4,0.185673784,0.421084591,1,0.392616976,0.652354653,6,1,19,10,2023
6386688,0.571428571,1,1,0.44,0.567552318,0,1,1,20122,2,0,0,0,0.27,2,0,0.380952381,2,0.129006774,0,0.35745882,0.46751064,0,0.277392654,0.37982998,6,0,17,7,2023
7153920,0.464285714,0,0,0.312,0.502923677,0,1,0,85006,4,1,0.4,0,0.5,2,1,0.285714286,2,0.781131828,6,0.280168896,0.215995942,0.4,0.671367018,0.445377742,5,0,31,12,2023
7236864,0.160714286,1,1,0.728,0.260104637,0,1,1,20117,3,2,0,0,0.97,2,1,0.285714286,2,0.179602506,4,0.478301078,0.413648213,0.4,0.471129579,0.47396911,2,0,28,9,2024
7547904,0.642857143,0,1,0.888,0.606278211,1,1,0,80002,5,1,1,0,0.51,2,1,0.285714286,0,0.613297531,1,0.063683325,0.175687397,0,0.637469697,0.463672758,6,1,17,10,2024
7568640,0.571428571,0,1,0.792,1,1,0,1,85035,2,0,0.8,0,0.99,2,1,0.380952381,0,0.588940386,3,0.525667228,0.74570163,0,0.601413841,0.432539153,4,0,14,10,2024
7817472,0.392857143,0,0,0.456,0,1,0,1,20163,1,2,0,0,0.99,2,1,0.666666667,2,0.234354943,2,0.781428499,0.372978598,0,0.437821705,0.558530356,5,1,24,2,2023
7838208,0.553571429,1,1,0.488,0.557550267,1,1,0,15053,4,2,0,0,0.03,2,1,0.666666667,0,0.298711043,4,0.180988046,0.284002616,0.4,0.615685086,0.477005742,4,0,9,6,2024
7900416,0.5,0,1,0.664,0.525441116,1,1,0,80002,2,2,0,0,0.01,2,1,0.380952381,2,0.524901202,2,0.811110686,0.596089173,0.4,0.535254707,0.633837243,8,1,29,7,2024
8045568,0.535714286,0,0,0.664,1,0,1,0,85028,7,1,0.4,0,0.24,2,1,0.666666667,0,0.185122233,5,0.345619414,0.625920334,0,0.59251403,0.315174413,3,0,30,10,2024
8211456,0.25,0,1,0.424,1,1,0,1,20107,2,0,0,0,0.03,2,0,0.19047619,2,0.200760843,2,0.224401915,0.183992046,0,0.475355328,0.330311532,3,0,19,2,2024
8273664,0.446428571,1,1,0.824,1,1,1,0,20165,7,0,0,0,0.21,2,1,0.285714286,2,0.949468753,2,0.907431632,0.671324146,0.4,0.433147644,0.254382038,3,0,13,11,2024
8335872,0.25,0,1,0.312,0.98584325,1,1,1,20104,3,2,0,0,0.96,2,1,0.761904762,1,0.586527119,3,0.143102043,0.695962296,1,0.425028227,0.264762228,2,0,18,3,2023
8792064,0.589285714,0,1,0.52,1,1,1,1,50035,6,2,0,0,0.14,2,1,0.761904762,0,0.526340115,2,0.65006223,0.622488177,0,0.496874274,0.596438693,0,0,12,9,2023
9020160,0.392857143,1,1,0.424,1,1,0,1,20156,5,1,0.8,0,0.2,2,1,0.285714286,1,0.445301773,4,0.611509743,0.719851565,0,0.893405672,0.620801876,8,0,22,6,2023
9206784,0.696428571,1,1,0.776,1,0,1,0,20106,7,1,0.4,0,0.93,2,0,0.380952381,1,0.239598464,5,0.650048221,0.354529754,0,0.211216916,0.440033074,2,0,21,8,2024
9248256,0.321428571,0,1,0.552,0.878128847,1,1,1,15019,2,1,0.8,0,0.99,2,1,0.380952381,1,0.142566335,0,0.126571073,0.748107295,0,0.345295221,0.402509045,3,0,20,5,2024
9455616,0.785714286,0,0,0.824,0.676395158,1,0,0,80109,4,1,0.8,0,0.44,2,0,0.761904762,2,0.313792502,0,1,0.696489436,0,0.624493574,0.390551804,3,1,3,3,2024
9517824,0.285714286,0,1,0.488,0.374179319,1,1,0,50002,2,1,0,0,0.83,2,0,0.666666667,1,0.587126586,6,0.163810972,0.188338527,0.4,0.423973865,0.522112574,2,0,30,12,2024
9745920,0.410714286,1,0,0.488,1,1,0,0,80034,4,0,0,0,0.02,2,1,0.285714286,1,0.186051763,2,0.554351823,0.209586888,0.4,0.295441338,0.376825504,3,0,24,3,2024
10305792,0.517857143,1,1,0.904,1,0,1,1,85067,4,2,1,0,0,2,1,0.571428571,0,0.46054489,6,0.310268779,0.420145228,0,0.906821805,0.382733245,2,0,12,5,2024
10326528,0.607142857,1,1,0.6,0.587402544,1,0,0,50009,1,1,0,0,0,2,0,0.19047619,1,0.261339728,3,0.265028841,0.348076044,1,0.539970279,0.515283092,4,0,23,2,2024
10347264,0.339285714,0,1,0.552,0.417008617,1,0,1,15025,6,2,0,0,0.56,2,1,0.571428571,1,0.232405224,2,0.618646245,0.220361873,0,0.316520274,0.393664961,6,0,30,5,2023
10492416,0.482142857,0,1,0.584,0.515336479,1,0,0,80104,7,2,0.4,0,0.09,2,1,0.380952381,0,0.699147318,2,0.283426308,0.506084443,0,0.557114037,0.578141574,2,0,1,2,2023
10679040,0.285714286,0,0,0.792,1,1,1,0,20156,5,2,0,0,0.92,2,0,0.095238095,1,0.347892461,2,0.324119655,0.525210753,0,0.113302394,0.379303157,4,0,23,11,2023
10803456,0.071428571,0,0,0.408,0.799856381,1,1,1,15047,7,1,0,0,0.73,2,0,0.380952381,1,0.470408171,5,0.270650861,0.558499643,0.4,0.753491017,0.522228628,5,0,4,12,2024
11176704,0.571428571,1,0,0.68,0.568321707,1,0,0,15025,7,1,0,0,0.02,2,1,0.761904762,0,0.251066013,4,0.27176494,0.273480216,0,0.567807093,0.416281613,3,1,20,3,2024
11197440,0.589285714,0,0,0.488,0.577913418,1,1,0,80002,5,0,0,0,0,2,1,0.571428571,2,0.55854852,4,0.367144052,0.529175293,0.4,0.734329858,0.674242218,4,0,10,10,2024
11840256,0.142857143,1,0,0.792,1,1,1,1,85054,5,0,0,0,0.57,2,1,0.19047619,2,0.468352835,0,0.474964403,0.393296748,0.4,1,0.56762863,4,0,5,12,2024
11860992,1,1,1,0.184,0.878128847,0,0,0,50032,4,1,0.4,0,0.52,2,1,0.571428571,0,0.214390372,6,0.336358506,0.704371499,0.4,0.37612908,0.268653231,0,0,12,2,2023
11964672,0.428571429,1,0,0,0,1,1,0,50032,1,1,0,0,0.06,2,0,0.571428571,1,0.186252604,1,0.526620634,0.338794537,1,0.615278285,0.502332834,6,1,1,9,2023
12047616,0.821428571,1,1,0.568,0,0,1,0,20144,1,1,0,0,0.22,2,0,0.571428571,0,0.654233703,0,0.382314411,0.71457581,1,0.250286421,0.465383604,3,1,24,2,2023
12441600,0.357142857,1,0,0.568,0.430498564,1,0,0,15025,3,2,0,0,0.96,2,1,0.666666667,0,0.290452847,5,0.495857088,0.209854318,0.4,0.118989307,0.581979635,2,0,24,2,2024
13022208,0.410714286,1,1,0.312,0.46671112,1,1,0,50007,3,0,0,0,1,2,0,0.476190476,0,0.576928684,6,0.306227143,0.295384957,0,0.688494172,0.418691728,3,1,23,11,2024
13167360,0.607142857,0,0,0.648,1,1,0,0,0,6,2,0,0,0.68,2,0,0.666666667,2,0.471217838,5,0.525354044,0.320660553,0,0.194820343,0.35870426,8,0,13,8,2024
13436928,0.642857143,1,0,0.776,0,1,0,0,15045,2,0,0,0,0.69,2,0,0.19047619,0,0.170030283,1,0.931152894,0.437142566,1,0.417938266,0.643225172,6,1,17,6,2024
13499136,0.535714286,0,1,0.392,0.546778826,1,1,0,15021,1,0,0,0,0.14,2,0,0.571428571,1,1,6,0.408570342,0.470553353,1,0.559563145,0.476182907,2,0,31,5,2024
13561344,0.142857143,0,1,0.504,0.241126385,1,0,0,80024,4,1,1,0,0.86,2,1,0.666666667,0,0.156729689,1,0.348497732,0.377544483,1,0.336337296,0.435724516,6,0,24,3,2024
14162688,0.607142857,1,1,0.872,0,1,0,0,80021,2,0,0,0,0.76,2,1,0.285714286,1,0.247988203,6,0.415106472,0.276354762,1,0.052954704,0.649414215,5,1,24,7,2023
14660352,0.339285714,0,1,0.52,0.415982766,1,1,0,15001,7,1,0,0,0.97,2,0,0.476190476,0,0.147449873,1,0.988007421,0.587406643,0.4,0.31046807,0.464776463,5,0,4,1,2023
14722560,0.875,0,1,0.456,0,0,1,1,15012,3,1,0.4,0,0.97,2,1,0.666666667,2,0.476568445,6,0.345206108,0.227687862,0.4,0.467684223,0.501515211,1,1,21,9,2024
14743296,0.071428571,0,0,0.68,1,1,0,1,15021,7,1,0,0,0.99,2,1,0.285714286,0,0.964588896,2,0.605452294,0.151729596,0.4,0.51272291,0.435487802,1,0,27,11,2024
14867712,0.428571429,0,1,0.808,1,1,0,0,85068,2,1,0,0,0.84,2,1,0.476190476,0,0.699504139,2,0.631543098,0.158098293,0,0.58768223,0.540028013,5,0,23,12,2024
14992128,0.410714286,0,1,0.104,1,1,1,1,15056,6,1,0,0,0,2,1,0.857142857,0,1,5,0.578420989,0.460463781,0.4,0.535603394,0.467290911,1,0,3,12,2024
15116544,0.589285714,0,1,0.616,0.577503078,1,0,0,85069,1,1,0.4,0,0.41,2,0,0.19047619,0,0.233147233,2,1,0.340083191,1,0.283768638,0.280303419,3,0,14,7,2023
15199488,0.321428571,0,1,0.648,1,1,1,0,80011,2,1,0,0,0.43,2,1,0.380952381,2,0.726175674,2,0.549126376,0.341548693,0,0.145821572,0.391533764,7,0,24,4,2023
15303168,0.589285714,0,1,0.504,1,0,0,0,80013,3,2,1,0,0.76,2,1,0.380952381,2,0.300598358,6,0.85760106,0.350921213,0,0.26324594,0.458364141,3,0,18,2,2023
15323904,0.517857143,0,1,0.68,1,0,0,0,50049,7,2,0.4,0,0.86,2,0,0.571428571,0,0.213793759,1,0.220800014,0.532718032,1,0.322173978,0.447728309,6,0,3,4,2024
15552000,0.232142857,0,1,0.744,0.32893927,0,1,1,50021,3,1,0,0,0.9,2,1,0.380952381,1,0.301511356,5,0.29427214,0.538670506,0,0.236297446,0.582621687,8,1,1,7,2023
15780096,0.464285714,0,0,0.056,1,1,1,0,85005,3,1,0,0,0.74,2,0,0.380952381,1,0.450650635,2,0.972648671,0.418743122,0.4,0.37842045,0.678506353,6,0,29,6,2024
15925248,0.392857143,1,1,0.856,0,1,0,0,15057,3,1,0,0,0.76,2,0,0.571428571,2,0.459829433,4,0.16464039,0.427824367,1,0.112057085,0.470103145,3,1,9,12,2023
15987456,0.071428571,0,1,0.424,1,1,0,0,80034,4,0,0,0,0.36,2,1,0.285714286,0,0.429844627,2,0.073186726,0.443586379,1,0.578442035,0.505963622,3,0,3,9,2023
16277760,0.232142857,0,1,0.408,0.328528929,1,0,1,20142,3,0,0,0,0.32,2,0,0.285714286,1,0.416103374,5,0.091265273,0.359920171,0,0.226359878,0.593609136,4,0,13,1,2024
16588800,0.321428571,1,1,0.504,0.403723841,0,0,0,20109,1,1,0,0,0.58,2,0,0.285714286,1,0.639490828,5,0.291588586,0.798298992,0,0.214579251,0.43343047,3,0,7,6,2024
16671744,0.571428571,1,0,0.568,1,1,0,1,50044,1,2,0,0,0.32,2,1,0.476190476,2,0.121212375,1,0.206318741,0.382768461,1,0.3029381,0.619615101,1,0,2,6,2023
16899840,0.428571429,1,0,0.44,0.480406237,0,0,1,20107,7,2,0,0,0.51,2,0,0.19047619,1,0.051783372,5,0.146918826,0.5367238,0,0.622044466,0.321463044,5,1,23,10,2024
16920576,0.196428571,0,1,0.824,0.294881001,1,0,1,20119,3,1,0,0,0.03,2,1,0.285714286,1,0.358866859,5,0.407605187,0.212050884,0.4,0.767089795,0.480223637,4,1,29,6,2024
16962048,0.625,0,1,0,1,1,0,1,50038,7,1,0.4,0,0.24,2,1,0.380952381,0,0.410289823,4,0.327469553,0.291310539,0.4,0.620392355,0.529379864,3,0,11,10,2023
17293824,0.517857143,1,1,0.232,1,0,1,1,20152,7,1,0,0,0.17,2,0,0.571428571,2,0.275552058,3,0.341911974,0.585126153,0,0.521664231,0.506032559,6,0,25,9,2024
17563392,0.482142857,1,0,0.728,1,1,0,1,50027,3,1,0,0,0,2,1,0.380952381,1,1,3,1,0.427518821,0,0.638100654,0.423737167,2,0,24,8,2024
17687808,0.642857143,1,1,0.2,1,1,1,0,20160,5,1,0,0,0.52,2,1,0.19047619,1,0.483292328,6,0.292060284,0.447381618,0,0.610031382,0.339324755,2,0,3,10,2024
18144000,0.464285714,0,1,0.712,0.503641773,1,1,1,80105,2,1,0,0,0.22,2,1,0.571428571,0,0.204596708,0,0.183755869,0.332926676,1,0.800655033,0.544596448,3,0,27,3,2023
18164736,0.321428571,1,1,0.792,0.402390234,1,1,0,15042,3,2,0,0,0.9,2,0,0.476190476,2,0.282443109,3,0.427176554,0.49842686,0.4,0.412799289,0.522660025,3,0,21,9,2024
18247680,0.375,1,0,0.536,0.442808781,1,1,0,85055,2,2,0,0,0.26,2,1,0.571428571,2,0.515758596,3,0.764483645,0.447740744,0.4,0.995388204,0.476261426,3,0,11,11,2024
18330624,0.446428571,0,1,0.76,0.491639311,0,1,1,20140,5,1,0.8,0,0.16,2,1,0.761904762,0,0.403863811,4,0.311809335,0.76326479,0.4,0.227505562,0.41041817,2,1,26,10,2023
18517248,0.125,0,0,0.424,0.543137054,1,1,0,85050,5,1,0.4,0,0,2,1,0.19047619,2,0.306713038,6,0.683210384,0.233639381,0,0.486413675,0.504082766,4,0,20,6,2024
18579456,0.517857143,1,1,0.856,0.536109971,1,0,1,50036,3,1,0,0,0.64,2,1,0.571428571,1,0.868251495,5,0.694007166,0.441696959,1,0.278613057,0.418515298,6,0,6,1,2024
18620928,0.607142857,1,0,0.344,1,0,1,1,85051,4,0,0,0,0.52,2,1,0.476190476,1,0.508942994,4,0.29427578,0.316973774,0,0.475297214,0.485802978,0,0,6,10,2024
18703872,1,1,1,0.728,1,1,0,1,80024,7,1,0,0,0.36,2,1,0.285714286,2,0.867487659,4,0.660350935,0.214031744,1,0.48272756,0.499179076,6,0,10,7,2024
18952704,0.375,0,0,0.616,0.443116537,0,0,0,80001,3,2,0,0,0.72,2,0,0.476190476,2,0.18870067,2,1,0.290703771,0,0.387627437,0.612752869,4,0,7,12,2024
18994176,0.089285714,0,1,0.968,0,0,1,0,85073,3,2,0.4,0,0.81,2,0,0.571428571,0,0.255109563,0,0.269950477,0.41079985,0,0.242424368,0.47595516,4,1,25,11,2023
19035648,0.428571429,0,0,0.6,1,1,1,0,85030,7,2,0.4,0,0.35,2,0,0.19047619,0,0.265693204,0,0.291282864,1,0,0.468522731,0.297882401,2,0,8,11,2023
19139328,0.696428571,0,1,0.68,0.633258104,1,0,0,80014,2,1,0,0,0.28,2,1,0.380952381,0,0.308291867,1,0.49453664,1,1,0.39154601,0.490726761,6,0,20,2,2023
19222272,0.535714286,0,0,0.68,0.547496922,0,1,1,50003,3,2,1,0,0.8,2,1,0.571428571,0,0.209686954,2,0.31765272,0.60253409,0,0.744931591,0.494017471,4,0,10,8,2024
19325952,0.535714286,1,1,0.328,0.546676241,1,1,0,50047,5,1,0,0,0.96,2,1,0.285714286,0,0.655057662,2,0.515840378,0.340520255,0.4,0.610803474,0.618599086,4,0,30,11,2023
19367424,0.428571429,1,1,0.696,1,1,0,0,15012,2,1,0.8,0,0.21,2,1,0.095238095,0,0.296903545,0,0.894762017,0.32215204,0.4,0.641944509,0.625200944,3,0,28,8,2023
19450368,0.607142857,0,1,0.36,0,0,0,0,20148,5,1,0,0,0.32,2,0,0.952380952,1,0.603661217,3,0.537526789,0.419676433,1,0.76727244,0.346278522,8,1,21,12,2023
19885824,0.767857143,1,0,0.072,1,1,0,1,15010,1,2,0,0,0.15,2,1,0.380952381,1,0.419256649,3,0.165170131,0.724997664,1,0.908075416,0.476007753,2,0,23,2,2024
20093184,0.321428571,0,1,0.728,0.403467378,0,1,0,50055,4,0,0,0,0.89,2,1,0.571428571,0,0.382877436,1,0.489293764,0.711364986,1,0.506737124,0.502807135,8,0,5,2,2023
20134656,0.053571429,0,0,0.776,1,1,0,1,85051,3,1,0.4,0,0.43,2,1,0.380952381,1,0.485822019,1,0.129420402,0.513669737,0,0.93526467,0.562307493,7,0,26,10,2024
20279808,0.785714286,0,1,0.472,1,0,1,1,85028,2,1,0.4,0,0.94,2,1,0.380952381,2,0.599251474,2,0.508162339,0.976730361,0.4,0.142442633,0.559895256,4,0,19,6,2023
20507904,0.464285714,0,1,0.536,1,0,0,0,20132,3,1,0,0,0.1,2,1,0.19047619,2,0.269444201,5,1,0.198176604,0,0.381367682,0.516713872,5,0,18,2,2023
20839680,0.428571429,1,1,0.424,0.480713993,0,0,1,20164,4,0,0,0,0.78,2,1,0.666666667,2,0.240654375,6,0.163122679,0.090185837,1,0.375298874,0.603136325,5,0,11,2,2024
20860416,0.178571429,0,0,0.28,1,1,0,1,85015,6,1,0,0,0.03,2,0,0.476190476,1,0.172120117,2,0.361149493,0.606963944,0.4,0.465857769,0.466747546,5,0,9,1,2024
21067776,0.607142857,0,1,0.488,1,1,0,0,85003,1,0,0,0,0.73,2,0,0.476190476,1,0.815861224,4,0.741198148,0.612272957,1,0.688460964,0.547835544,8,0,3,2,2023
21275136,0.553571429,1,1,0.344,1,0,1,0,80021,4,1,0.8,0,0.32,2,1,0.666666667,0,0.464948648,4,0.386098215,0.45263922,1,0.637428187,0.584111481,1,0,5,2,2023
21648384,0.375,0,1,0.968,0.443270414,0,0,0,50012,7,1,0,0,0.92,2,0,0.571428571,2,0.098255335,0,0.186994984,0.182654885,1,0.441042905,0.453436609,5,0,3,4,2024
21669120,0.553571429,1,1,0.792,0.557088634,0,0,1,20158,2,1,0,0,0.91,2,0,0.285714286,1,0.461497549,2,0.167598939,0.264447326,0.4,0.403899479,0.352065666,5,0,20,2,2023
22187520,0.714285714,1,1,0.696,1,0,1,1,85046,2,2,1,0,1,2,1,0.380952381,0,0.348894499,1,0.554131297,0.411573255,0.4,0.561314881,0.334305847,3,0,9,1,2023
22228992,0.375,1,0,0.344,1,1,1,1,20132,3,2,0,0,0.53,2,1,0.571428571,2,0.303910445,1,0.451772849,0.560662161,0.4,0.753773287,0.482623308,3,0,20,5,2023
22291200,0.339285714,0,1,0.616,0,1,1,1,15010,2,1,0.4,0,0.51,2,1,0.380952381,1,0.512436784,2,0.05972656,0.307186029,0.4,0.600932322,0.562514795,5,1,20,3,2023
22436352,0.125,1,1,0.104,0.221635207,0,0,1,80010,7,1,0.4,0,0.04,2,1,0.476190476,0,1,5,0.52953337,0.197989899,0.4,0.594099724,0.400502712,5,0,10,7,2024
22477824,0.267857143,1,0,0.584,0,0,1,0,80015,4,2,0.4,0,0.86,2,1,0.761904762,1,0.201300677,2,0.410412139,0.234745168,0.4,0.264648989,0.431983907,8,1,11,6,2023
22519296,0.732142857,1,0,0.536,1,0,1,0,20124,4,1,0,0,0.01,2,0,0.476190476,2,0.064531506,2,0.190256847,0.189125036,1,0.287861555,0.458108701,1,0,23,6,2024
22685184,0.321428571,0,1,0.36,1,1,0,0,85017,3,1,0.8,0,0.76,2,1,0.476190476,0,0.257695302,3,0.394963178,0.702554225,0,0.462312788,0.375983018,3,0,23,3,2024
23016960,0.446428571,0,0,0.744,0.49122897,1,0,1,15012,3,1,0,0,0.01,2,0,0.095238095,2,0.354513748,1,0.065363416,0,0,0.369230067,0.419392866,0,0,1,7,2023
23286528,0.732142857,0,1,0.92,0.651210505,1,1,0,80022,5,1,0,0,0.5,2,1,0.666666667,2,0.20235983,2,0.293786228,0.405596235,0.4,0.784706771,0.338909316,5,0,31,8,2023
23639040,0.339285714,0,1,0.728,0.416957325,1,0,0,85041,3,0,0,0,0.17,2,1,0.19047619,2,0.432792599,5,0.29664134,0.270510666,0.4,0.35370521,0.534644154,4,0,13,7,2024
23970816,0.428571429,0,1,0.568,0.479636849,1,0,1,50049,3,0,0.4,0,0.95,2,1,0.571428571,2,0.523277725,0,0.800488279,0.61811355,0.4,0.567010095,0.368097175,2,0,4,5,2024
24157440,0.553571429,1,1,0.504,0,1,0,0,85013,2,1,0,0,0.01,2,1,0.571428571,0,0.121216009,6,0.321147603,0.724408886,1,1,0.480411655,4,1,12,6,2023
24198912,0.464285714,0,0,0.216,0.503744358,1,1,1,15030,3,1,0,0,0.51,2,0,0.380952381,1,0.666850154,3,0.72197724,0.278158469,1,0.683471424,0.37026834,7,0,26,10,2024
24344064,0.267857143,1,1,0.504,0.35945835,0,0,0,50023,3,1,0,0,0.77,2,1,0.380952381,1,0.332175654,4,0.218502796,0.517110944,0,0.235409126,0.622247955,1,0,20,1,2024
24447744,0.232142857,0,0,0.76,0.328836684,1,1,0,20151,3,1,1,0,0.96,2,1,0.571428571,1,0.396633613,5,0.567204738,0.163850622,0.4,0.386979876,0.526618901,4,0,6,7,2024
24530688,0.428571429,1,1,0.696,0.479893311,0,0,0,85077,3,1,0,0,0.38,2,0,0.476190476,1,0.400969013,0,0.771583712,0.390757828,1,0.371562946,0.396402929,4,0,8,6,2024
